Macro Cell Code	Macro Cell Label	Coordinate Range	Ideology	Friendly Label	Explanation	Recent US/Western Examples	Align Ideology 1	AI1 text	Align Ideology 2	AI2 text	Surprise Ideology 1	SI1 text	Surprise Ideology 2	SI2 text
ER-GL	Anarcho-Capitalism & Ultra-Free-Market Libertarianism	x: 5.56 to 7.78,  y: -5.56 to -3.33	Libertarianism	Minimal-State Advocate	Argues for the smallest government possible, limited to defending people from force and fraud. Opposes regulations, taxes, and most laws, believing free markets and voluntary agreements work better. Frames itself as the truest form of freedom: a society where government barely exists and individuals take full responsibility for their lives.	The U.S. Libertarian Party embodies modern libertarianism, advocating drug legalization, low taxes, and individual choice. Politicians like Ron Paul and Gary Johnson brought these ideas into mainstream debates. Their campaigns popularized the vision of a smaller state and greater personal freedom for millions of voters.	Classical Liberalism	Libertarianism and Classical Liberalism share the call for tiny government, focusing on individual rights, property, and voluntary interactions.	Libertarian Capitalism	Both demand free markets and minimal laws, trusting private exchange and contracts to organize society better than bureaucracy.	Distributism	Together they dream of people owning their lives, but with different visions.	Progressivism	Each of them wants change, though one seeks it by shrinking power and one by using it.
ER-GL	Anarcho-Capitalism & Ultra-Free-Market Libertarianism	x: 7.78 to 10.00,  y: -5.56 to -3.33	Paleo-Libertarianism	Traditionalist Libertarian	Mixes radical free-market libertarianism with cultural conservatism and nationalism. Opposes big government but supports strong borders and traditional norms. Frames itself as defending both liberty and heritage, arguing that personal freedom is compatible with a shared moral framework and that a small state should still uphold those values.	In the 1990s, Murray Rothbard and Lew Rockwell tied libertarian economics to paleoconservative culture, creating “paleolibertarianism.” Today, the Mises Institute and similar groups continue this blend, promoting small government while stressing traditional values and nationalism. It remains a niche but persistent current in libertarian thought.	Libertarianism	Paleo-Libertarianism and Libertarianism both reject government expansion, with Paleo-Libertarianism adding cultural conservatism to the mix.	Conservative Libertarianism	Both blend liberty and tradition, arguing for a free society that still honors longstanding values and social norms.	Distributism	The pair value tradition in ownership, though for very different reasons.	Right-Wing Nationalism	Both talk about identity, though one focuses on culture and one on nation.
EL-GL	Libertarian Socialism & Anarcho-Communism	x: -10.00 to -7.78,  y: -7.78 to -5.56	Council Communism	Worker Council Advocate	Advocates for workers’ councils; 'democratic assemblies in workplaces' to overthrow capitalism and govern society. Envisions bottom-up control, with power staying in the hands of workers rather than parties or elites. Frames this as true communism: not centralized dictatorship, but a network of grassroots councils running the economy and society.	During the German Revolution of 1918–1919, council communists like Anton Pannekoek envisioned workers’ councils replacing both capitalist owners and party elites. Today, left-communist and anarchist groups keep this idea alive, seeing workplace democracy as the true path to socialism without authoritarian leaders or rigid state structures.	Anarcho-Syndicalism	Council Communism and Anarcho-Syndicalism both see worker councils as the foundation of society, bypassing parties and bosses entirely.	Syndicalism	Both call for labor groups to lead transformation, organizing production through bottom-up democratic structures.	Distributism	Each of them likes decentralization, though for different purposes.	Traditional Conservatism	These two value organic community, though they see it differently.
EL-GL	Libertarian Socialism & Anarcho-Communism	x: -7.78 to -5.56,  y: -7.78 to -5.56	Minarcho-Socialism	Minimal-State Socialist	Envisions a hybrid with an extremely small government that handles only fairness and security, while most of the economy is socialist. Frames it as socialism with a “night watchman” state: workers own industry, but the state barely exists. Highlights the tension of combining socialism’s planning with libertarian minimalism in one system.	This concept has never been implemented fully. Advocates imagine a socialist economy with only a “night-watchman” state providing minimal fairness. It lives mostly in theory and niche online debates, since even the most welfare-oriented states still rely on robust government rather than near-total decentralization.	Minarchism	Minarcho-Socialism and Minarchism share the vision of a tiny government, adding socialism’s aim of shared resources and equity within that frame.	Socialism	Both seek fairness in who owns and benefits, but Minarcho-Socialism keeps the state skeletal, a paradox that sparks interesting debate.	Distributism	These two like spreading resources, though with very different designs.	Liberalism	Each side aims for fairness, but in opposite ways.
EL-GL	Libertarian Socialism & Anarcho-Communism	x: -5.56 to -3.33,  y: -7.78 to -5.56	Libertarian Socialism	Freedom-Oriented Socialist	Asserts that true liberty requires economic equality and community control, so it opposes both state authority and capitalist ownership. Envisions a society of freely federated cooperatives and communes where people manage their own work and share resources without oppressive structures.	Anarchist collectives in Catalonia during 1936 briefly operated factories and farms cooperatively, showing libertarian socialism in action. Movements like Occupy Wall Street and the Rojava region in Syria reflect similar ideas today, experimenting with leaderless structures and direct democracy as alternatives to state or corporate power.	Anarchism	Libertarian Socialism and Anarchism share a rejection of both the state and capitalism, imagining a world of cooperative, freely chosen communities.	Socialism	Both envision equality and shared resources, but Libertarian Socialism strips out hierarchy, even from socialist structures.	Distributism	The two like community sharing, though for very different visions.	Progressivism	Both believe in change for fairness, though they approach it differently.
EM-GL	Social-Market Libertarianism	x: -3.33 to -1.11,  y: -7.78 to -5.56	Mutualism	Cooperative Trader	Envisions a society where people freely exchange goods and services through cooperatives, mutual credit systems, and without profit driven corporations or state intervention. Property is ownership by use, meaning you own something only while you actively use it, which prevents absentee landlords or monopolies.	Pierre Joseph Proudhon in nineteenth century France originated this idea. Modern echoes of mutualism appear in community barter networks, time banks, and local cooperative movements, where neighbors trade skills and goods without big corporations or heavy government control.	Anarcho-Mutualism	Mutualism and Anarcho-Mutualism share a bottom-up view of trade and property, seeing fair exchange and cooperative effort as the foundation of society.	Libertarian Socialism	Both favor voluntary cooperation over command, trusting free communities to create fairness without heavy state involvement.	Traditional Conservatism	The pair value close knit ties, though one sees them in farms and one in faith.	Distributism	The pair prize local ownership, though they frame it differently.
EM-GL	Social-Market Libertarianism	x: -1.11 to 1.11,  y: -7.78 to -5.56	Minarchism	Tiny-State Advocate	The belief in maintaining only a night watchman state, government limited to the bare essentials like defense, police, and courts, and leaving everything else such as schools, healthcare, and the economy to individuals and voluntary associations. It is essentially the step just before outright anarchism.	Many in the US Libertarian Party lean this way, arguing for drastic cuts to government. Ron Paul’s calls to eliminate departments and return to a very limited federal government exemplify minarchist philosophy, echoing earlier thinkers who said the state should do no more than guard basic security.	Minarcho-Capitalism	Minarchism and Minarcho-Capitalism both call for the smallest possible state, limited to defense, courts, and property protection while leaving markets to flourish.	Classical Liberalism	Both value individual freedom and minimal governance, envisioning a lean state that guards rights without steering the economy or social life.	Distributism	Each side sees personal ownership as important, though one sees farms and one sees markets.	Progressivism	Each of them imagines reform, but one shrinks the state while one builds it.
EM-GL	Social-Market Libertarianism	x: 1.11 to 3.33,  y: -7.78 to -5.56	Geo-Libertarianism	Land-Tax Libertarian	A libertarian philosophy that embraces taxing land value, as per Georgism, as the sole or main source of public revenue to fund a minimal state, while eliminating all other taxes on labor or capital. The idea is to reconcile needing some public finance with the principle of not taxing individual productivity.	Henry George’s land tax idea combined with libertarian minimal government finds support among some economists and libertarians. For instance, social scientist Fred Foldvary has advocated this approach. It is not practiced widely, though elements exist in places like Hong Kong’s reliance on land leases alongside low taxes.	Georgism	Geo-Libertarianism and Georgism share the idea that land’s value should be taxed for society while freeing labor and trade from heavy taxation.	Libertarianism	Both demand low government intrusion, with Geo-Libertarianism making an exception for land to ensure fairness without harming economic freedom.	Traditional Conservatism	Together they honor land, though for heritage or equity depending on the view.	Eco-Socialism	Both see land as key, though their visions for it diverge widely.
ER-GL	Anarcho-Capitalism & Ultra-Free-Market Libertarianism	x: 3.33 to 5.56,  y: -7.78 to -5.56	National Libertarianism	Patriotic Libertarian	Marries a strong nationalist streak that emphasizes sovereignty, borders, and cultural identity with libertarian calls for small government and individual freedom. It is wary of globalism or supranational institutions, wanting minimal state domestically but a firm national defense and immigration control.	Some right wing libertarian segments fit this, such as militia or patriot movements in the US that oppose federal power but are fiercely nationalistic. In Europe, Eurosceptic libertarians who champion free markets but also push for tight border control can be seen as national libertarians.	Libertarianism	National Libertarianism and Libertarianism both demand small government, but National Libertarianism ties that freedom to strong national borders and culture.	Paleo-Libertarianism	Both blend liberty with rooted identity, advocating limited government alongside deep concern for preserving traditions or sovereignty.	Distributism	The two value cultural roots, though one sees them in land and one in law.	Right-Wing Nationalism	The two emphasize nationhood, though one stresses freedom more.
ER-GL	Anarcho-Capitalism & Ultra-Free-Market Libertarianism	x: 5.56 to 7.78,  y: -7.78 to -5.56	Voluntarism	Voluntary Society Advocate	Holds that all forms of human association should be voluntary and that even participating in state institutions, such as voting or holding office, is morally suspect because the state relies on coercion. Voluntaryists thus advocate building alternatives to government and resolving issues through voluntary agreements, charity, and private contracts only.	Philosophers like Auberon Herbert in late nineteenth century Britain pioneered these ideas. In modern times, some anarcho capitalists call themselves voluntaryists, abstaining from voting and taxation. Activists in the Free State Project who try to live off grid and trade in cryptocurrency to avoid government systems are examples.	Libertarianism	Voluntarism and Libertarianism both reject coercion, believing society should run on voluntary agreements rather than force or compulsion.	Anarchism	Both imagine a world where top-down authority is replaced by freely chosen arrangements, trusting people to self-organize peacefully.	Mutualism	The pair celebrate voluntary exchange, though framed differently.	Distributism	Each side admires self reliance, but with very different solutions.
ER-GL	Anarcho-Capitalism & Ultra-Free-Market Libertarianism	x: 7.78 to 10.00,  y: -7.78 to -5.56	Minarcho-Capitalism	Minimal-State Capitalist	Essentially identical to standard minarchism: a minuscule government limited to protecting property rights and enforcing contracts, explicitly to allow a capitalist free market system to operate unimpeded. It underlines that even the minimal state exists only to uphold capitalism.	This is basically the end goal of many in the libertarian movement. Think of an ideal government that only runs courts, police, and national defense, leaving everything else to private enterprise. Ayn Rand’s envisioned government, or the Cato Institute’s policy goals, align with this minimal state capitalist model.	Minarchism	Minarcho-Capitalism and Minarchism both want a night-watchman state—only enough government to protect property, enforce contracts, and provide security.	Capitalism	Both fully embrace markets and private property, relying on the smallest possible state to keep the system running and resolve disputes.	Distributism	Each of them likes private ownership, though one sees it sprawling and one small scale.	Traditional Conservatism	Both value order, though one is market made and one cultural.
EL-GL	Libertarian Socialism & Anarcho-Communism	x: -10.00 to -7.78,  y: -10.00 to -7.78	Anarcho-Communism	Stateless Communist	Aims for a classless, moneyless society like communism but achieved through abolishing the state entirely. Small communities, or communes, would collectively own property and distribute goods based on need, cooperating freely without central authority or coercive institutions.	During the Spanish Civil War, anarchist regions such as rural collectives in Aragon and Catalonia operated on these principles for a time. Various intentional communities worldwide and the philosophy of Peter Kropotkin exemplify anarcho communism’s vision of shared wealth with total freedom.	Anarchism	Anarcho-Communism and Anarchism both seek a stateless society, with Anarcho-Communism adding communal ownership and full sharing of resources.	Libertarian Socialism	Both aim to remove state and class entirely, envisioning a world of voluntary cooperation and shared wealth without hierarchy.	Distributism	These two seek shared resources, though for entirely different reasons.	Eco-Socialism	Together they see sustainability, though from different starting points.
EL-GL	Libertarian Socialism & Anarcho-Communism	x: -7.78 to -5.56,  y: -10.00 to -7.78	Anarcho-Syndicalism	Union Anarchist	Envisions unions and worker councils as the backbone of a stateless society. Workers would seize control of factories and workplaces through direct action such as a general strike, then manage them democratically and federate with other workplaces, replacing government with a network of self managed industries.	The Spanish CNT union in 1936 and 1937 organized industries like Catalonia’s railways and factories on anarcho syndicalist lines. The Industrial Workers of the World in the US in the early 1900s advocated a similar strategy of using unions to eventually run society after capitalism’s collapse.	Syndicalism	Anarcho-Syndicalism and Syndicalism both put worker unions at the heart of social change, with the anarchist form rejecting the state entirely.	Council Communism	Both envision workers’ councils as the new foundation for society, bypassing parties and bosses for direct control of workplaces.	Distributism	The two value local structures, though one is revolutionary and one pastoral.	Traditional Conservatism	These two talk of organic community, but from opposing views.
EL-GL	Libertarian Socialism & Anarcho-Communism	x: -5.56 to -3.33,  y: -10.00 to -7.78	Anarchism	Total Freedom Advocate	Belief that all governments and hierarchies are oppressive and unnecessary, and society should be organized on a voluntary and cooperative basis without any rulers. Anarchists maintain that people can self govern in communities through mutual aid and agreements, achieving order without coercive authority.	Prominent anarchists like Emma Goldman in the early twentieth century championed these ideas. Historical episodes like the Paris Commune in 1871 or certain zones in conflict areas where local assemblies run things show anarchist principles in action. Modern anarchist influences appear in movements like Occupy or autonomous protest camps that reject formal leadership.	Libertarian Socialism	Anarchism and Libertarian Socialism both dream of a world without rulers, replacing state control with voluntary networks of cooperation.	Voluntarism	Both reject coercion in all forms, trusting humans to govern themselves through agreements rather than force or imposed authority.	Progressivism	Together they seek change, though one dismantles and one reforms.	Distributism	Both admire local responsibility, but for different reasons.
EM-GL	Social-Market Libertarianism	x: -3.33 to -1.11,  y: -10.00 to -7.78	Anarcho-Mutualism	Cooperative Anarchist	Combines Proudhon’s mutualism with full anarchism: a stateless society where people trade and form cooperatives freely, with ownership based on use and mutual agreements instead of legal titles. Essentially, it is a free market of cooperatives and independent workers with no state and no exploitative capitalist corporations.	Proudhon’s own vision was essentially anarcho mutualist. While there is no country like this, aspects appear in things like local exchange trading systems, cooperatives, or barter networks where communities self regulate trade without central authority.	Mutualism	Anarcho-Mutualism and Mutualism both promote cooperative exchange and shared responsibility, removing state oversight entirely from that vision.	Anarchism	Both reject hierarchy, with Anarcho-Mutualism tying that rejection to systems of fair exchange and ownership by use.	Distributism	Each side believes in widespread access to property, though with different aims.	Traditional Conservatism	The pair cherish close knit ties, though one sees them in farms and one in faith.
EM-GL	Social-Market Libertarianism	x: -1.11 to 1.11,  y: -10.00 to -7.78	Agorism	Counter-Economy Advocate	Pushes for creating a counter economy outside of government control as a path to liberty. Agorists encourage people to conduct business off the tax books, use alternative currencies, and form barter networks so that eventually the state becomes irrelevant and loses revenue and power.	Founded by Samuel Konkin the Third in the 1970s, agorism is practiced today by some crypto anarchists and homesteaders who trade in Bitcoin or local currencies, avoid licensing, and generally live off grid. For example, some vendors at unregulated markets or crypto marketplaces consider their work agorist activism.	Libertarianism	Agorism and Libertarianism both seek to shrink the state, but Agorism pushes further, urging people to bypass it entirely through underground markets.	Voluntarism	Both believe in voluntary exchange, with Agorism focusing on creating entire parallel economies to starve the state of power and revenue.	Distributism	The pair imagine smaller networks of trade, but for different visions.	Progressivism	Each of them thinks about change, though one avoids government and one uses it.
EM-GL	Social-Market Libertarianism	x: 1.11 to 3.33,  y: -10.00 to -7.78	Geoanarchism	Land-Tax Anarchist	Imagines a stateless society that still adheres to the Georgist principle: land and natural resources would be held in common or require a rent paid to the community, not to a government but to local associations or cooperatives, as a condition of use. It is like a voluntary anarchist version of a land value tax system.	No real world instance of this exists, as it is largely theoretical. You could imagine something like a commune where anyone who farms a piece of land gives an agreed share of their harvest into a communal pot as “land dues.” It is discussed among niche Georgist and libertarian thinkers, but remains an idea rather than practice.	Georgism	Geoanarchism and Georgism both see land as belonging to all, but Geoanarchism imagines this fairness happening with no state at all.	Anarchism	Both reject centralized power, with Geoanarchism tying land-sharing ideals into a fully stateless vision for society.	Distributism	These two dream of fair land access, though their paths differ.	Eco-Socialism	Both see land and fairness as linked, though in different ways.
ER-GL	Anarcho-Capitalism & Ultra-Free-Market Libertarianism	x: 3.33 to 5.56,  y: -10.00 to -7.78	Objectivism	Self-Interest Philosopher	Ayn Rand’s philosophy advocating rational self interest as the highest moral calling and laissez faire capitalism as the ideal economic system. It calls for a minimal government only to protect rights. Altruism and collectivism are rejected in favor of individual achievement and personal happiness as moral virtues.	Ayn Rand’s novels “Atlas Shrugged” and “The Fountainhead” illustrate Objectivism. Followers established the Ayn Rand Institute to spread these ideas. Alan Greenspan, before leading the US Federal Reserve, was part of Rand’s inner circle. Some tech entrepreneurs and political figures, like former House Speaker Paul Ryan, have cited inspiration from Rand’s Objectivist ideas.	Libertarian Capitalism	Objectivism and Libertarian Capitalism both celebrate individual achievement and free markets, seeing self-interest as the highest driver of progress.	Classical Liberalism	Both defend personal rights and limited state power, though Objectivism frames it through a moral code of rational self-interest.	Progressivism	The two talk about human potential, though in entirely different tones.	National Libertarianism	The two see strength in identity, though one is personal and one national.
ER-GL	Anarcho-Capitalism & Ultra-Free-Market Libertarianism	x: 5.56 to 7.78,  y: -10.00 to -7.78	Anarcho-Feudalism	Neo-Feudalist Dreamer	A theoretical scenario, often tongue in cheek, where in the absence of a state, society falls into a patchwork of feudal like fiefdoms. Local lords or warlords provide protection in exchange for loyalty or fees, all supposedly voluntary since no central government exists. It is essentially medieval feudal hierarchy but without a unifying state, considered more a speculative or satirical idea than a serious model.	There is no real example of voluntary feudalism. Occasionally, parts of failed states with warlords might resemble it, such as war torn regions where local strongmen rule, but those are not exactly voluntary or ideologically driven. “Anarcho feudalism” mostly appears in internet discussions or fiction as a hypothetical extreme.	Anarchism	Anarcho-Feudalism and Anarchism share the rejection of a central state, but Anarcho-Feudalism imagines voluntary micro-kingdoms taking its place.	Voluntarism	Both oppose forced authority, though Anarcho-Feudalism’s voluntary fiefdoms show how freedom could paradoxically create tiny hierarchies.	Traditional Conservatism	Each of them values rooted loyalty, though one is chaotic and one structured.	Distributism	Each side imagines land tied to people, though for very different reasons.
ER-GL	Anarcho-Capitalism & Ultra-Free-Market Libertarianism	x: 7.78 to 10.00,  y: -10.00 to -7.78	Anarcho-Capitalism	Stateless Capitalist	Proposes the complete elimination of the state in favor of private voluntary arrangements for all services, even law, security, and infrastructure would be provided by competing businesses or cooperatives. Society would run entirely on contracts and the free market, with property rights enforced by private means.	No country has ever been anarcho capitalist, but its ideas come from economists like Murray Rothbard. Some libertarian activists experiment with it, such as seasteading projects to build floating cities outside any country’s jurisdiction. In everyday life, aspects appear in things like private arbitration or gated communities with their own security. Scaled up, that is the anarcho capitalist vision.	Libertarian Capitalism	Anarcho-Capitalism and Libertarian Capitalism both push markets and private property, but Anarcho-Capitalism removes even the minimal state entirely.	Anarchism	Both reject the state altogether, though Anarcho-Capitalism replaces it with private law and order instead of collective governance.	Objectivism	Together they glorify self interest and property, though framed differently.	Distributism	Both dream of ownership, but one imagines corporations and one farms.
